BackendTime,servoVoltage,ch0sens,ch1sens,ch2sens,ch3sens,ch4sens,ch5sens,flowmeter,Of,FuelFlowCalc,oxAngle,fuelAngle,system_status,system_time
1740321436270.8855,7.171638011932373,31.65816116333008,18.09449577331543,18.444313049316406,3.803546190261841,30.537960052490234,680.0,0.2280914634466171,-0.9812649488449096,0.0,0,160,65537,5167171
1740321436287.8577,5.578872203826904,31.583250045776367,18.09723663330078,18.43667984008789,3.762995958328247,30.52446937561035,673.0,0.2187138050794601,-0.9812649488449096,0.0,0,160,65537,5167190
1740321436311.6812,6.119574069976807,31.353927612304688,18.11135673522949,18.452302932739254,3.83154559135437,30.532155990600582,704.0,0.2245906442403793,-0.9812649488449096,0.0,0,160,65537,5167211
1740321436329.8298,5.834553241729736,31.35482215881348,18.072153091430664,18.41512489318848,3.7774875164031982,30.50850486755371,710.0,0.2252733260393142,-0.9812649488449096,0.0,0,160,65537,5167232
1740321436353.943,6.999787330627441,31.08439826965332,18.06912612915039,18.430355072021484,3.726460933685303,30.54629135131836,653.0,0.2299540042877197,-0.9812649488449096,0.0,0,160,65537,5167253
1740321436387.139,6.002212524414063,30.672283172607425,18.017290115356445,18.36431121826172,3.6662538051605225,30.51506233215332,664.0,0.2333850860595703,-0.9812649488449096,0.0,0,160,65537,5167277
1740321436407.7285,5.884850978851318,30.291847229003903,18.024763107299805,18.385417938232425,3.6305572986602783,30.5086669921875,679.0,0.2225403040647506,-0.9812649488449096,0.0,0,160,65537,5167300
1740321436414.6006,6.488425254821777,29.73471069335937,18.005590438842773,18.364723205566406,3.610368013381958,30.497270584106445,684.0,0.2205114662647247,-0.9812649488449096,0.0,0,160,65537,5167315
1740321436436.5083,5.796829700469971,28.94807243347168,17.981348037719727,18.333763122558597,3.495441675186157,30.51979255676269,704.0,0.2258220762014389,-0.9812649488449096,0.0,0,160,65537,5167336
1740321436457.4634,5.880659103393555,27.589338302612305,17.953649520874023,18.29273223876953,3.391991138458252,30.498506546020508,677.0,0.2281212359666824,-0.9812649488449096,0.0,0,160,65537,5167357
